treatment,timepoint,mean_conc_ng_ml,sd
placebo,pre,5.9860964134353996,3.096533815312551
placebo,post,5.981702297578966,3.2095821760603642
fiber,pre,6.619730580285083,3.8771360494562255
fiber,post,5.665963909327512,2.647700003730542
