"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"426","glycosyl-N-stearoyl-sphingosine (d18:1/18:0)","Lipid","Hexosylceramides (HCER)",0.176322770645002,-0.0812392321029684,0.411809640645371,0.177772509660076,0.831141825375282,""
"427","succinylcarnitine (C4-DC)","Energy","TCA Cycle",-0.0598175231621705,-0.309048049388694,0.19710097488029,0.649825561578431,0.960981009182483,""
"428","bilirubin (E,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",-0.10995794624268,-0.353998638925213,0.148101915489597,0.402955865224047,0.907245349072741,""
"429","bilirubin (E,Z or Z,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",0.00170348354107579,-0.25233036601877,0.255517660110194,0.989693567304903,0.999093744848646,""
"430","N-methylproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",-0.0372548878634814,-0.288450863472285,0.218739072236195,0.777481369371103,0.971250083747139,""
"431","beta-cryptoxanthin","Cofactors and Vitamins","Vitamin A Metabolism",0.0618578795213597,-0.195131805701411,0.310899212251204,0.638698166209841,0.960981009182483,""
"432","5alpha-androstan-3beta,17beta-diol disulfate","Lipid","Androgenic Steroids",-0.0497261282141846,-0.299864533423327,0.206809899155787,0.705944793796146,0.970731424724108,""
"433","5alpha-pregnan-3beta,20alpha-diol disulfate","Lipid","Progestin Steroids",-0.0585311189511734,-0.307879956441098,0.198341432391989,0.656880662628115,0.960981009182483,""
"434","glycocholenate sulfate*","Lipid","Secondary Bile Acid Metabolism",-0.0949771831986224,-0.340685554049332,0.162875598649984,0.47038773893625,0.926828676604874,""
"435","taurocholenate sulfate*","Lipid","Secondary Bile Acid Metabolism",-0.0435483028250447,-0.294219528674602,0.212728751958717,0.741109413293186,0.971250083747139,""
"436","androstenediol (3beta,17beta) disulfate (1)","Lipid","Androgenic Steroids",-0.0729156737380528,-0.320898903817724,0.184423649272499,0.579812209970538,0.960981009182483,""
"437","pregnen-diol disulfate*","Lipid","Pregnenolone Steroids",-0.0701840233951613,-0.318433771947021,0.187074621380087,0.594127132090927,0.960981009182483,""
"438","androstenediol (3beta,17beta) disulfate (2)","Lipid","Androgenic Steroids",-0.0148295877541523,-0.267746065934725,0.239998854015231,0.910459290846433,0.988181425430885,""
"439","21-hydroxypregnenolone disulfate","Lipid","Pregnenolone Steroids",-0.25659849467394,-0.479293984450585,-0.00286015020558698,0.0478087262735345,0.828516919036565,""
"440","21-hydroxypregnenolone monosulfate (1)","Lipid","Pregnenolone Steroids",0.0586157230333908,-0.198259875399283,0.307956802541938,0.656415738754085,0.960981009182483,""
"441","5alpha-androstan-3alpha,17alpha-diol monosulfate","Lipid","Androgenic Steroids",-0.0224652398079155,-0.274822224514948,0.232787393474028,0.86471455086791,0.978607017649618,""
"442","5alpha-pregnan-3beta,20beta-diol monosulfate (1)","Lipid","Progestin Steroids",0.0322321723791637,-0.223521955481586,0.283833824142538,0.806858487508447,0.975121026707989,""
"443","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","Lipid","Progestin Steroids",0.0262309401903523,-0.22922052764459,0.278301961265322,0.842306558544703,0.978057183043045,""
"444","5alpha-pregnan-diol disulfate","Lipid","Progestin Steroids",0.0231541069135161,-0.232135412369022,0.27545927414463,0.860606944883213,0.978607017649618,""
"445","5alpha-androstan-3alpha,17beta-diol monosulfate (1)","Lipid","Androgenic Steroids",-0.0274982096279446,-0.279471509292866,0.228018627072874,0.834792573867614,0.978057183043045,""
"446","5alpha-androstan-3beta,17alpha-diol disulfate","Lipid","Androgenic Steroids",0.159971127505995,-0.0979316180357838,0.397739408178188,0.222106541170472,0.831141825375282,""
"447","5alpha-androstan-3beta,17beta-diol monosulfate (2)","Lipid","Androgenic Steroids",-0.0181740549717575,-0.270848832944149,0.236843643309404,0.890378252955488,0.985647226590267,""
"448","androstenediol (3alpha, 17alpha) monosulfate (2)","Lipid","Androgenic Steroids",0.0864477422621508,-0.171235794261794,0.333061342783522,0.511331159822652,0.95197397510697,""
"449","androstenediol (3alpha, 17alpha) monosulfate (3)","Lipid","Androgenic Steroids",0.133488567925899,-0.124661672114525,0.374712015051595,0.309245562808259,0.875370429606745,""
"450","androstenediol (3beta,17beta) monosulfate (1)","Lipid","Androgenic Steroids",-0.0556419120938375,-0.305253728536065,0.201124448680523,0.672834327520079,0.960981009182483,""
"451","androstenediol (3beta,17beta) monosulfate (2)","Lipid","Androgenic Steroids",-0.0856265723893176,-0.332325617947488,0.172038716548894,0.515366359804052,0.95197397510697,""
"452","4-hydroxycoumarin","Xenobiotics","Drug - Cardiovascular",0.0719189529286624,-0.185391366373673,0.319999819049781,0.585017148581086,0.960981009182483,""
"453","pregnenediol sulfate (C21H34O5S)*","Lipid","Pregnenolone Steroids",0.0652690022786096,-0.191835061637061,0.313989822007899,0.620271804134503,0.960981009182483,""
"454","2-hydroxyglutarate","Lipid","Fatty Acid, Dicarboxylate",-0.0493851751606345,-0.299553442676389,0.207137049859984,0.707870443422411,0.970731424724108,""
"455","gamma-CEHC","Cofactors and Vitamins","Tocopherol Metabolism",0.078450566369255,-0.179040723341206,0.325883494654829,0.551300941323524,0.960981009182483,""
"456","N-acetyl-beta-alanine","Nucleotide","Pyrimidine Metabolism, Uracil containing",0.0378573289974848,-0.218164570004185,0.289003862990961,0.773977621825672,0.971250083747139,""
"457","5-methylthioribose**","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",0.0518416294636882,-0.204778753906822,0.301793560571681,0.694038139222195,0.960981009182483,""
"458","sphingomyelin (d18:1/18:1, d18:2/18:0)","Lipid","Sphingomyelins",0.00763715530805378,-0.246766091298593,0.26105560240387,0.953817499700754,0.993926426282083,""
"459","palmitoyl sphingomyelin (d18:1/16:0)","Lipid","Sphingomyelins",0.211629712316607,-0.0446969133434647,0.44181230015935,0.104538743159271,0.831141825375282,""
