"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"108","fructose","Carbohydrate","Fructose, Mannose and Galactose Metabolism",0.133405638932126,-0.122531459481821,0.372705592007379,0.305379071201469,0.987519423912971,""
"109","adenine","Nucleotide","Purine Metabolism, Adenine containing",-0.103192605127413,-0.346021613304889,0.15259343262194,0.42870914149487,0.987519423912971,""
"110","caprate (10:0)","Lipid","Medium Chain Fatty Acid",0.0697468888889579,-0.185328913984044,0.316017192581026,0.593256929774041,0.996044105356185,""
"111","margarate (17:0)","Lipid","Long Chain Saturated Fatty Acid",-0.00835360404571193,-0.259628186401455,0.243980374689958,0.949053779405196,0.996044105356185,""
"112","nonadecanoate (19:0)","Lipid","Long Chain Saturated Fatty Acid",-0.0339581833122407,-0.283355840313339,0.219741648888374,0.795010387788108,0.996044105356185,""
"113","arachidate (20:0)","Lipid","Long Chain Saturated Fatty Acid",-0.020155632471224,-0.270602897706726,0.232846945944261,0.877468250608622,0.996044105356185,""
"114","maltose","Carbohydrate","Glycogen Metabolism",0.171085873221634,-0.0843697659588352,0.405439091583913,0.187395318444344,0.987519423912971,""
"115","asparagine","Amino Acid","Alanine and Aspartate Metabolism",-0.158264138031642,-0.394367672032677,0.0974399931823523,0.223145821597045,0.987519423912971,""
"116","N-stearoyl-sphinganine (d18:0/18:0)*","Lipid","Dihydroceramides",0.250969188896437,-0.000908998096564452,0.472902825595458,0.0510654931147313,0.841634979113164,""
"117","dihydroorotate","Nucleotide","Pyrimidine Metabolism, Orotate containing",-0.268519135791443,-0.487383633335701,-0.0179094074111731,0.0364017590944301,0.841634979113164,""
"118","pentadecanoate (15:0)","Lipid","Long Chain Saturated Fatty Acid",-0.0465727315710241,-0.29493448492264,0.207683717850201,0.721531243147678,0.996044105356185,""
"119","hydroxyproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",-0.0989022492996695,-0.342200272359537,0.15682429883763,0.448251677181019,0.987519423912971,""
"120","allantoin","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.177261766239295,-0.0780426555657327,0.4107474815374,0.171729447306903,0.987519423912971,""
"121","xanthine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.00338811240471195,-0.248644769557298,0.25499129360387,0.979325435253939,0.996044105356185,""
"122","5-oxoproline","Amino Acid","Glutathione Metabolism",-0.206511881474456,-0.435675749841881,0.0477943538895966,0.110308715445247,0.987519423912971,""
"123","sarcosine","Amino Acid","Glycine, Serine and Threonine Metabolism",0.0814535745232628,-0.173934864110588,0.326575691136157,0.532594745481153,0.987519423912971,""
"124","pantothenate (Vitamin B5)","Cofactors and Vitamins","Pantothenate and CoA Metabolism",0.0323482156578476,-0.221275018928615,0.281872832215221,0.804532398325539,0.996044105356185,""
"125","pipecolate","Amino Acid","Lysine Metabolism",0.123750004199911,-0.132190152393699,0.364220603013441,0.342019689608848,0.987519423912971,""
"126","phosphoethanolamine (PE)","Lipid","Phospholipid Metabolism",0.0971946315252269,-0.158505631706496,0.340677086275604,0.456164829117261,0.987519423912971,""
"127","glycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.253989345663094,0.00231678792168781,0.47540338641007,0.0482451240036456,0.841634979113164,""
"128","3-ureidopropionate","Nucleotide","Pyrimidine Metabolism, Uracil containing",0.251578182209655,-0.000258962753159969,0.473407333962266,0.0504862129054927,0.841634979113164,""
"129","N-acetylleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",0.0414334731017724,-0.212605551359802,0.290226049278601,0.751207748529174,0.996044105356185,""
"130","N-acetylmethionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",0.0761338805193708,-0.179120982077926,0.321785322339174,0.559778492519123,0.996044105356185,""
"131","N-acetylvaline","Amino Acid","Leucine, Isoleucine and Valine Metabolism",0.0098199284630831,-0.242600728571164,0.260995262288226,0.940126240568717,0.996044105356185,""
"132","erucate (22:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid",0.0397633906078207,-0.214202207878919,0.288693371738393,0.760931717717468,0.996044105356185,""
