treatment,timepoint,mean_conc_ng_ml,sd
fiber,post,7.405297608602422,4.156920507777354
fiber,pre,9.269238467165582,7.767987349429166
placebo,post,7.895882087098238,5.047992729648687
placebo,pre,7.63417245634279,3.736696879441794
