sample,replicate,absorbance_1
1,1,1.141
1,2,1.188
1,3,1.221
2,1,1.229
2,2,1.233
2,3,1.452
3,1,1.079
3,2,1.321
3,3,1.437
4,1,1.522
4,2,1.4
4,3,1.34
