sample,replicate,absorbance_1
1,1,0.621
1,2,0.653
1,3,0.622
2,1,0.78
2,2,0.8
2,3,0.8
3,1,0.795
3,2,0.717
3,3,0.883
4,1,0.778
4,2,0.782
4,3,0.763
