sample,replicate,absorbance_1
1,1,1.321
1,2,1.333
1,3,1.322
2,1,1.308
2,2,1.625
2,3,1.597
3,1,1.54
3,2,1.386
3,3,1.354
4,1,1.381
4,2,1.431
4,3,1.733
